title,desc,access,publisher,contact,email,bureauCode
Company Level Petroleum Imports 1986,"Monthly 1986 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports,"Monthly data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1987,"Monthly 1987 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1988,"Monthly 1988 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1989,"Monthly 1989 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1990,"Monthly 1990 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1991,"Monthly 1991 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1992,"Monthly 1992 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1993,"Monthly 1993 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1994,"Monthly 1994 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
Company Level Petroleum Imports 1995,"Monthly 1995 data at the company level on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. Based on Form EIA-814 data.",public,U.S. Energy Information Administration,William Jeffers,data@eia.gov,019:20
